image_name,Step_1,Step_2,Step_3,Step_4,Step_5,Step_6,Step_7,Step_8,Step_9,Step_10,Step_11,Step_12,Step_13,Step_14,Step_15,Step_16,Step_17,Step_18,Step_19,Step_20,Step_21,Step_22,Step_23,Step_24,Step_25,Step_26,Step_27,Step_28,Step_29,Step_30,Step_31,Step_32,Step_33,Step_34,Step_35,Step_36,Step_37,Step_38,Step_39,Step_40,Step_41,Step_42,Step_43,Step_44,Step_45,Step_46,Step_47,Step_48,Step_49,Step_50

245.png,-1993.0,-2294.75,-2521.625,-2642.0,-2752.6875,-2840.3125,-2910.25,-2972.5,-3026.09375,-3072.34375,-3111.84375,-3153.25,-3198.15625,-3241.59375,-3285.09375,-3334.0625,-3383.4375,-3426.53125,-3462.1875,-3498.3125,-3530.84375,-3558.25,-3588.015625,-3613.734375,-3635.78125,-3657.75,-3678.796875,-3696.5625,-3713.8125,-3729.859375,-3745.71875,-3761.828125,-3777.03125,-3791.34375,-3806.1953125,-3819.7734375,-3832.5078125,-3843.9921875,-3854.84375,-3864.828125,-3875.1640625,-3885.40625,-3895.6484375,-3905.6484375,-3915.3984375,-3925.53125,-3936.4375,-3949.4765625,-3970.6640625,-3977.40234375
246.png,-1333.0,-1688.5,-1864.0,-1995.75,-2125.375,-2254.25,-2372.125,-2516.75,-2605.375,-2665.46875,-2721.03125,-2773.46875,-2814.59375,-2849.71875,-2886.90625,-2917.5625,-2947.4375,-2976.328125,-3003.546875,-3034.203125,-3060.546875,-3082.9375,-3102.640625,-3121.015625,-3139.78125,-3156.1875,-3171.6953125,-3186.5859375,-3201.484375,-3216.09375,-3230.1796875,-3243.609375,-3256.578125,-3269.390625,-3282.0078125,-3294.4375,-3305.8359375,-3316.765625,-3327.4609375,-3337.59375,-3347.375,-3356.765625,-3366.171875,-3375.609375,-3385.453125,-3395.8125,-3406.8515625,-3419.546875,-3440.484375,-3447.6015625
247.png,-1275.0,-1597.25,-1771.625,-1913.125,-2060.375,-2178.4375,-2263.1875,-2315.375,-2367.53125,-2424.21875,-2471.5625,-2527.34375,-2584.09375,-2648.21875,-2695.03125,-2740.84375,-2767.09375,-2794.15625,-2821.484375,-2842.515625,-2864.96875,-2886.046875,-2908.96875,-2930.53125,-2950.078125,-2969.390625,-2986.875,-3004.8125,-3022.28125,-3038.75,-3054.03125,-3068.3671875,-3081.90625,-3095.4375,-3107.6015625,-3119.640625,-3130.6796875,-3140.8828125,-3151.1484375,-3161.15625,-3171.15625,-3180.78125,-3190.21875,-3199.4296875,-3209.2734375,-3219.3515625,-3230.4453125,-3244.265625,-3265.75,-3272.43359375
248.png,-1087.0,-1298.875,-1531.625,-1744.5,-1873.125,-2004.125,-2095.75,-2149.25,-2203.5625,-2260.0,-2307.59375,-2361.375,-2402.5625,-2435.28125,-2466.0,-2496.046875,-2520.984375,-2544.890625,-2568.859375,-2589.6875,-2610.125,-2632.296875,-2652.265625,-2671.96875,-2690.015625,-2706.359375,-2721.90625,-2737.234375,-2751.59375,-2766.1328125,-2780.0078125,-2793.5859375,-2806.34375,-2818.6796875,-2830.46875,-2841.734375,-2852.625,-2862.828125,-2872.703125,-2882.8828125,-2893.34375,-2902.84375,-2912.3359375,-2922.1171875,-2931.9375,-2942.5078125,-2953.625,-2966.96875,-2987.34375,-2994.63671875
249.png,-796.5,-1243.75,-1467.25,-1696.625,-1897.5,-2007.25,-2083.9375,-2149.5625,-2212.3125,-2274.8125,-2339.5,-2400.03125,-2463.75,-2519.03125,-2572.4375,-2622.1875,-2662.5625,-2700.5,-2733.15625,-2764.53125,-2795.28125,-2822.46875,-2850.390625,-2877.421875,-2903.84375,-2925.484375,-2945.75,-2963.359375,-2978.484375,-2992.7578125,-3006.328125,-3019.234375,-3031.5859375,-3043.3046875,-3054.34375,-3066.125,-3077.796875,-3089.9921875,-3101.3828125,-3112.578125,-3123.78125,-3134.4453125,-3145.0390625,-3155.5703125,-3166.4453125,-3177.65625,-3189.765625,-3203.890625,-3226.25,-3233.1796875
250.png,-1365.0,-1641.25,-1883.375,-2055.5,-2182.875,-2279.3125,-2374.6875,-2517.4375,-2583.8125,-2641.875,-2687.65625,-2738.90625,-2782.0625,-2819.875,-2856.09375,-2893.71875,-2934.1875,-2969.875,-3003.09375,-3033.40625,-3069.59375,-3105.1875,-3134.4375,-3161.953125,-3189.328125,-3215.390625,-3239.484375,-3260.453125,-3279.890625,-3299.265625,-3318.15625,-3335.890625,-3352.359375,-3368.03125,-3382.203125,-3395.03125,-3407.2734375,-3419.1328125,-3430.0703125,-3440.4765625,-3450.1328125,-3460.1953125,-3469.9140625,-3480.1328125,-3490.3984375,-3500.953125,-3512.640625,-3525.90625,-3546.28125,-3553.17578125
251.png,-999.0,-1364.0,-1566.25,-1693.4375,-1806.3125,-1912.625,-1989.1875,-2049.9375,-2102.71875,-2151.875,-2202.375,-2261.125,-2316.96875,-2365.28125,-2410.0625,-2459.6875,-2502.15625,-2541.125,-2577.40625,-2611.90625,-2643.453125,-2676.109375,-2710.203125,-2742.390625,-2767.234375,-2791.15625,-2813.59375,-2834.296875,-2854.25,-2873.65625,-2891.453125,-2908.703125,-2924.640625,-2939.90625,-2954.46875,-2970.1171875,-2983.53125,-2997.7265625,-3011.4296875,-3025.0078125,-3038.03125,-3050.6953125,-3062.59375,-3074.0390625,-3085.1953125,-3096.5078125,-3108.6484375,-3122.7734375,-3144.5234375,-3151.91796875
252.png,-1239.0,-1555.0,-1850.5,-2038.75,-2158.9375,-2285.9375,-2456.1875,-2523.375,-2570.21875,-2608.0,-2647.625,-2691.59375,-2733.46875,-2770.53125,-2805.9375,-2840.46875,-2874.53125,-2910.65625,-2945.21875,-2977.6875,-3010.3125,-3036.953125,-3062.078125,-3087.75,-3114.203125,-3140.109375,-3161.6875,-3180.859375,-3198.984375,-3215.4375,-3231.3828125,-3246.5078125,-3261.1875,-3275.6015625,-3288.8515625,-3302.3515625,-3315.09375,-3327.2109375,-3339.46875,-3351.0703125,-3362.2734375,-3372.9453125,-3384.6015625,-3395.8515625,-3406.90625,-3418.0703125,-3430.0703125,-3444.3359375,-3465.4140625,-3472.76171875
253.png,-1230.0,-1518.25,-1763.625,-1906.875,-1992.75,-2052.375,-2104.53125,-2171.71875,-2233.125,-2297.0,-2367.3125,-2445.625,-2501.15625,-2550.4375,-2595.875,-2637.34375,-2682.28125,-2743.5,-2797.34375,-2835.21875,-2865.046875,-2891.0625,-2918.859375,-2944.796875,-2974.515625,-2996.40625,-3016.09375,-3035.265625,-3052.625,-3069.09375,-3084.1171875,-3097.3515625,-3110.2109375,-3122.3125,-3133.71875,-3144.28125,-3154.359375,-3163.8828125,-3173.0390625,-3181.625,-3189.9765625,-3198.375,-3207.03125,-3216.15625,-3225.8671875,-3236.34375,-3247.5703125,-3260.8984375,-3282.4765625,-3289.21484375
